FILE/NUMBER OF VERTICES:10,,,Best 212
Cooling method: 1,,,
Swap method: 1,,,
Start temperature: 2,,,
Era length: 1,,,
425,12,,
337,7,,
331,7,,
359,7,,
397,7,,
Era leng+A14:A85th: 100,,,
241,522,,
263,518,,
243,519,,
274,518,,
252,516,,
Era length: 10000,,,
213,56879,,
241,52535,,
242,54060,,
212,51138,,
213,54056,,
Era length: 1000000,,,
213,5420155,,
243,6386214,,
258,5561200,,
262,5221566,,
245,5266818,,
Start temperature: 5,,,
Era length: 1,,,
318,11,,
336,8,,
302,8,,
260,19,,
319,8,,
Era length: 100,,,
254,628,,
245,622,,
212,622,,
213,616,,
252,620,,
Era length: 10000,,,
256,63539,,
245,62994,,
212,62857,,
213,61700,,
212,61751,,
Era length: 1000000,,,
245,6326537,,
258,7020642,,
241,7880164,,
212,6273473,,
213,6300726,,
Start temperature: 10,,,
Era length: 1,,,
212,26,,
425,17,,
387,18,,
368,18,,
356,21,,
Era length: 100,,,
213,973,,
212,722,,
212,721,,
212,717,,
212,721,,
Era length: 10000,,,
212,77043,,
212,71622,,
256,71815,,
212,72112,,
213,71825,,
Era length: 1000000,,,
212,7292664,,
212,7333190,,
213,7283356,,
237,7328578,,
212,7330723,,
Swap method: 2,,,
Start temperature: 2,,,
Era length: 1,,,
295,49,,
351,19,,
351,18,,
414,20,,
336,18,,
Era length: 100,,,
213,786,,
213,574,,
212,828,,
243,571,,
243,569,,
Era length: 10000,,,
212,59907,,
212,56744,,
212,57846,,
212,56900,,
213,56737,,
Era length: 1000000,,,
253,5767124,,
212,5798672,,
213,5789603,,
212,5762449,,
213,5786003,,
Start temperature: 5,,,
Era length: 1,,,
265,27,,
252,19,,
289,21,,
311,21,,
300,21,,
Era length: 100,,,
213,910,,
213,683,,
212,682,,
212,677,,
212,680,,
Era length: 10000,,,
212,69505,,
212,68065,,
212,69544,,
212,68874,,
213,67798,,
Era length: 1000000,,,
212,6956932,,
213,6890442,,
212,6899089,,
212,6900754,,
212,6912909,,
Start temperature: 10,,,
Era length: 1,,,
250,24,,
250,18,,
322,25,,
355,9,,
379,9,,
Era length: 100,,,
212,850,,
213,799,,
212,798,,
212,795,,
212,797,,
Era length: 10000,,,
219,86219,,
212,82780,,
213,82875,,
212,83699,,
213,84001,,
Era length: 1000000,,,
212,8134252,,
212,8246542,,
212,8286728,,
212,8255564,,
212,8213285,,
Cooling method: 2,,,
Swap method: 1,,,
Start temperature: 1.5,,,
Cooling coefficient: 0.8,,,
Era length: 1,,,
250,34,,
251,7,,
356,7,,
361,6,,
414,7,,
Era length: 10,,,
341,39,,
380,48,,
266,24,,
325,21,,
241,21,,
Era length: 100,,,
254,263,,
212,207,,
212,207,,
213,205,,
212,207,,
Era length: 1000,,,
252,2450,,
252,2051,,
212,2216,,
212,2330,,
213,2051,,
Cooling coefficient: 0.99,,,
Era length: 1,,,
307,29,,
350,26,,
337,28,,
290,28,,
297,27,,
Era length: 10,,,
253,237,,
253,167,,
309,94,,
253,94,,
260,93,,
Era length: 100,,,
253,1146,,
253,959,,
253,1121,,
253,918,,
253,926,,
Era length: 1000,,,
253,10292,,
213,11001,,
255,9743,,
252,9908,,
262,9267,,
Cooling coefficient: 0.9999,,,
Era length: 1,,,
256,184,,
257,104,,
304,103,,
212,103,,
288,103,,
Era length: 10,,,
257,987,,
257,931,,
254,930,,
247,942,,
253,933,,
Era length: 100,,,
212,9450,,
213,10374,,
253,9775,,
253,10106,,
212,10044,,
Era length: 1000,,,
237,98563,,
213,92932,,
212,93795,,
213,92691,,
255,91845,,
Cooling coefficient: 0.999999,,,
Era length: 1,,,
253,1119,,
253,1050,,
270,1053,,
213,1222,,
260,1180,,
Era length: 10,,,
212,9979,,
212,10186,,
212,9376,,
213,9941,,
213,9408,,
Era length: 100,,,
256,97828,,
212,92637,,
212,93469,,
255,93761,,
212,92249,,
Era length: 1000,,,
212,945240,,
212,955929,,
212,954443,,
256,944046,,
212,945581,,
Start temperature: 10,,,
Cooling coefficient: 0.8,,,
Era length: 1,,,
400,20,,
370,15,,
389,16,,
357,16,,
407,16,,
Era length: 10,,,
270,134,,
288,131,,
213,103,,
276,53,,
262,52,,
Era length: 100,,,
254,737,,
253,588,,
252,516,,
213,513,,
212,514,,
Era length: 1000,,,
212,5709,,
213,5112,,
212,5473,,
241,5632,,
241,5141,,
Cooling coefficient: 0.99,,,
Era length: 1,,,
327,61,,
299,62,,
298,57,,
352,59,,
326,60,,
Era length: 10,,,
253,446,,
259,219,,
212,218,,
213,220,,
219,218,,
Era length: 100,,,
213,2387,,
239,2377,,
212,2234,,
212,2160,,
212,2165,,
Era length: 1000,,,
239,22132,,
212,22580,,
213,23077,,
237,22795,,
212,21666,,
Cooling coefficient: 0.9999,,,
Era length: 1,,,
212,472,,
212,249,,
257,249,,
258,244,,
212,246,,
Era length: 10,,,
212,2465,,
212,2242,,
213,2247,,
212,2563,,
245,2239,,
Era length: 100,,,
212,23819,,
213,23779,,
241,23153,,
219,22041,,
212,22044,,
Era length: 1000,,,
212,227644,,
212,225338,,
212,225762,,
212,227212,,
212,224301,,
Cooling coefficient: 0.999999,,,
Era length: 1,,,
241,2738,,
242,2512,,
212,2518,,
212,2511,,
212,2536,,
Era length: 10,,,
212,23505,,
213,24028,,
212,23195,,
212,22378,,
212,22436,,
Era length: 100,,,
213,222058,,
265,223876,,
237,223747,,
212,226778,,
212,231575,,
Era length: 1000,,,
212,2274218,,
243,2236367,,
213,2230564,,
212,2226179,,
213,2238847,,
Start temperature: 100,,,
Cooling coefficient: 0.8,,,
Era length: 1,,,
337,26,,
467,17,,
473,20,,
338,19,,
330,18,,
Era length: 10,,,
288,168,,
272,162,,
313,78,,
258,66,,
355,66,,
Era length: 100,,,
257,870,,
260,638,,
239,637,,
253,638,,
257,639,,
Era length: 1000,,,
212,6638,,
239,7109,,
212,6357,,
219,6754,,
212,7214,,
Cooling coefficient: 0.99,,,
Era length: 1,,,
370,92,,
271,87,,
458,90,,
412,88,,
280,35,,
Era length: 10,,,
276,551,,
249,320,,
219,325,,
260,322,,
276,323,,
Era length: 100,,,
213,3220,,
212,3452,,
213,3188,,
213,3184,,
237,3187,,
Era length: 1000,,,
212,34171,,
212,32269,,
212,31703,,
212,31983,,
212,33302,,
Cooling coefficient: 0.9999,,,
Era length: 1,,,
263,414,,
288,361,,
247,361,,
274,361,,
260,360,,
Era length: 10,,,
212,3584,,
212,3290,,
245,3263,,
212,3283,,
276,3255,,
Era length: 100,,,
253,36729,,
212,32118,,
212,33091,,
253,32987,,
212,32054,,
Era length: 1000,,,
212,338570,,
256,343453,,
212,338999,,
213,337338,,
213,342307,,
Cooling coefficient: 0.999999,,,
Era length: 1,,,
212,3733,,
258,3649,,
253,3675,,
252,3766,,
213,3656,,
Era length: 10,,,
237,34196,,
212,34243,,
212,32778,,
245,33884,,
212,32784,,
Era length: 100,,,
213,326413,,
213,326768,,
213,330169,,
212,334054,,
213,337886,,
Era length: 1000,,,
212,3279820,,
254,3294169,,
254,3292869,,
212,3276028,,
212,3281179,,
Start temperature: 1000,,,
Cooling coefficient: 0.8,,,
Era length: 1,,,
407,24,,
458,21,,
433,24,,
387,11,,
342,10,,
Era length: 10,,,
285,148,,
333,90,,
278,89,,
306,89,,
365,90,,
Era length: 100,,,
252,1104,,
294,876,,
212,865,,
252,872,,
242,877,,
Era length: 1000,,,
245,9470,,
253,8759,,
213,9771,,
253,9059,,
212,8692,,
Cooling coefficient: 0.99,,,
Era length: 1,,,
269,114,,
335,108,,
324,107,,
393,70,,
298,45,,
Era length: 10,,,
256,636,,
254,411,,
243,410,,
257,411,,
276,410,,
Era length: 100,,,
239,4841,,
212,4033,,
212,4042,,
253,4068,,
212,4657,,
Era length: 1000,,,
213,42720,,
212,40367,,
212,41179,,
212,40455,,
212,41310,,
Cooling coefficient: 0.9999,,,
Era length: 1,,,
212,550,,
247,452,,
213,473,,
212,456,,
285,456,,
Era length: 10,,,
212,4781,,
212,4136,,
247,4087,,
212,4372,,
253,4182,,
Era length: 100,,,
213,43782,,
212,41995,,
212,40740,,
213,40637,,
212,42072,,
Era length: 1000,,,
212,414070,,
212,405150,,
213,416879,,
213,410869,,
212,410337,,
Cooling coefficient: 0.999999,,,
Era length: 1,,,
213,4832,,
253,4946,,
242,4606,,
256,4610,,
212,5206,,
Era length: 10,,,
212,43830,,
237,41451,,
212,42373,,
213,41355,,
263,42612,,
Era length: 100,,,
213,411822,,
212,408744,,
212,406765,,
213,412496,,
212,421356,,
Era length: 1000,,,
212,4112059,,
212,4104025,,
212,4115993,,
212,4115080,,
212,4123522,,
Swap method: 2,,,
Start temperature: 1.5,,,
Cooling coefficient: 0.8,,,
Era length: 1,,,
366,13,,
369,8,,
392,7,,
519,8,,
478,8,,
